,Log,Conta,Data,Pag.,Link,ID,Tipo,Nome,Registro,Município,Distância,DAEE Nº,Data_Protocolo,Finalidade,Tipo_serviço,Local,Latitude,Longitude,Volume,[Volume],Vazão,[Vazão]¹,[Vazão]²,Prazo,[Prazo],Nº_Requerimento,Diretoria,Nº_Extrato,Status,Data de abertura,Nome empresarial,Título do estabelecimento,Porte,Código 1,Código 2,Código 3,Logradouro,Número,CEP,Bairro/Distrito,Município.1,UF,E-mail,Telefone,Ente,Situação cadastral,Data situação,Motivo situação,Situação especial,Data situação especial,Índice do Cliente com este CNPJ,vendedor:CNPJ,Índice do Cliente com este Nome,vendedor:RS,Disparo,Status.1,Contagem,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
10,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_17,DDO,FREDERICO DAVID MIGUEL,790.371.196-20,RIBEIRÃO PRETO,230.0,DAEE 9312779,-,-,Captação Subterrânea,Aquífero Guarani,"21°54'39.428""","47°36'14.782""",3,m³,-,-,-,,indeterminado,20190012498-RKW,Diretoria de Bacia do Pardo Grande,407,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
11,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_17,DDO,FREDERICO DAVID MIGUEL,790.371.196-20,RIBEIRÃO PRETO,230.0,DAEE 9312759,-,-,Captação Superficial,Bacia do Córrego Santo Antônio,"21°51'26.480""","47°35'33.660""",1.75,m³,1,m³,/h,,indeterminado,20190010793-GN5,Diretoria de Bacia do Pardo Grande,408,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
12,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_18,DDO,VERA LUCIA FACTOR SCOMPARIM,177.731.008-37,DESCALVADO,170.0,DAEE 9608119,-,-,Reservatório de Acumulação,Ribeirão da Jararaca,"23°12'59.274""","46°13'38.428""",-,-,-,-,-,,indeterminado,20190012934-SR1,Diretoria de Bacia do Paraíba e Litoral Norte,239,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
13,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_19,DDO,MARCELO DONIZETE FREDERIGO,175.732.428-32,DESCALVADO,170.0,DAEE 9312780,-,-,Captação Subterrânea,Aquífero Tubarão,"22°1'53.500""","47°21'15.900""",14,m³,-,-,-,,indeterminado,20190012443-B4U,Diretoria de Bacia do Pardo Grande,409,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
14,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_2,DDO,LEANDRO DOS SANTOS,258.106.608-35,SANTA ISABEL,130.0,DAEE 9312553,-,-,Barramento 02,Afluente do Córrego do Matadouro Velho,"20°32'12.737""","47°26'43.441""",-,-,-,-,-,,indeterminado,20190012367-ORD,Diretoria de Bacia do Pardo Grande,410,Processado!,1979-02-20 00:00:00,AMAZONAS CONSTRUTORA LTDA,AMAZONAS,DEMAIS,68.10-2-01 - Compra e venda de imóveis próprios ,68.10-2-02 - Aluguel de imóveis próprios ,206-2 - Sociedade Empresária Limitada,AV RIO BRANCO,711,14.405-080,JARDIM FRANCANO,FRANCA,SP,am.construtora@yahoo.com.br,(16) 3720-0700 / (16) 3720-0666,*****,ATIVA,2005-11-03 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
15,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_20,DDO,ATÍLIO TRAVAGIM,032.567.688-73,PIRASSUNUNGA,125.0,DAEE 9208482,-,-,Reservatório de Acumulação,Córrego da Tapera,"20°20'32.418""","50°42'16.086""",-,-,-,-,-,,indeterminado,20190014212-2Z1,Diretoria de Bacia do Turvo Grande,297,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
16,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_21,DDO,AMAZONAS CONSTRUTORA LTDA,50.428.374/0001-80,FRANCA,319.0,DAEE 9208410,-,-,Captação Subterrânea,Aquífero Bauru,"20°40'46.000""","50°23'21.000""",14.5,m³,-,-,-,,indeterminado,20190008564-GS9,Diretoria de Bacia do Turvo Grande,298,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
17,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_22,DDO,MAURÍCIO HONÓRIO DE CARVALHO,109.397.978-01,SÃO FRANCISCO,230.0,DAEE 9208409,-,-,Captação Subterrânea,Aquífero Serra Geral,"20°24'49.931""","51°18'40.826""",14.58,m³,-,-,-,,indeterminado,20190011135-SXD,Diretoria de Bacia do Turvo Grande,299,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
18,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_23,DDO,IARA CRISTINA ZANINI CONSTANTINO,106.392.198-88,GENERAL SALGADO,455.0,DAEE 9608114,-,-,Reservatório de Acumulação,,"22°40'8.548""","45°43'54.019""",-,-,-,-,-,,indeterminado,20190010781-7M3,Diretoria de Bacia do Paraíba e Litoral Norte,240,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
19,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_24,DDO,MARCIA APARECIDA PEREIRA DOS SANTOS,085.272.368-77,ILHA SOLTEIRA,570.0,DAEE 9608112,-,-,Captação Subterrânea,Aquífero Litorâneo,"23°46'33.870""","45°38'40.170""",8,m³,-,-,-,,indeterminado,20190012871-47X,Diretoria de Bacia do Paraíba e Litoral Norte,256,Processado!,1987-02-25 00:00:00,CONDOMINIO MASTER DO CAMBURIZINHO II,********,DEMAIS,81.12-5-00 - Condomínios prediais ,Não informada ,308-5 - Condomínio Edilício,ROD ANTIGA ESTRADA SP 55,KM 62,11.600-200,CAMBURI-MARESIAS,SAO SEBASTIAO,SP, ,,*****,ATIVA,2005-11-03 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
20,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_3,DDO,JOSÉ DE ALENCAR BRASIL GONDIN,281.143.518-29,SÃO BENTO DO SAPUCAÍ,250.0,DAEE 9600154,-,-,Captação Subterrânea,Aquífero Taubaté,"23°2'41.103""","45°34'42.216""",10,m³,-,-,-,,indeterminado,20190011862-AQ9,Diretoria de Bacia do Paraíba e Litoral Norte,243,Processado!,1980-06-30 00:00:00,MOVAP MOTEL VALE DO PARAIBA LTDA,********,EPP,55.10-8-03 - Motéis ,55.10-8-01 - Hotéis ,206-2 - Sociedade Empresária Limitada,AV DOM PEDRO I,5101,12.090-000,CIDADE JARDIM,TAUBATE,SP,mtcontabil@mtcontabil.com.br,(12) 3672-3297,*****,ATIVA,2005-11-03 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
21,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_4,DDO,CONDOMÍNIO MASTER DO CAMBURIZINHO II,55.553.507/0001-64,SÃO SEBASTIÃO,260.0,DAEE 9608098,-,-,Captação Subterrânea,Aquífero Taubaté,"23°6'50.004""","45°58'9.282""",1,m³,-,-,-,,indeterminado,20190011653-Q8V,Diretoria de Bacia do Paraíba e Litoral Norte,244,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
22,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_5,DDO,MOVAP MOTEL VALE DO PARAIBA LTDA,43.740.588/0001-22,TAUBATÉ,222.0,DAEE 9608116,-,-,Captação Subterrânea,Aquífero Taubaté,"23°6'20.000""","45°40'28.120""",3,m³,-,-,-,,indeterminado,20190012664-NOZ,Diretoria de Bacia do Paraíba e Litoral Norte,246,Processado!,2002-02-28 00:00:00,QUAD SERVICOS E OBRAS LTDA,HHVALE,ME,"23.30-3-99 - Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes ",43.30-4-03 - Obras de acabamento em gesso e estuque ,206-2 - Sociedade Empresária Limitada,ESTM PROFESSORA OLIVIA ALEGRI,1353,12.283-516,CACAPAVA VELHA,CACAPAVA,SP,PROCESSOS.CRF@ASSISEALVES.CNT.BR,(12) 3206-4464,*****,ATIVA,2005-11-03 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
23,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_6,DDO,SIDNEY APARECIDO SILVA LEITE,261.490.098-23,SÃO JOSÉ DOS CAMPOS,150.0,DAEE 9608179,-,-,Captação Subterrânea,Aquífero Taubaté,"23°5'24.156""","45°45'20.356""",6,m³,-,-,-,,indeterminado,20190012308-2C0,Diretoria de Bacia do Paraíba e Litoral Norte,247,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
24,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_7,DDO,QUAD SERVIÇOS E OBRAS LTDA,04.922.129/0001-08,CAÇAPAVA,173.0,DAEE 9608181,-,-,Captação Subterrânea,Aquífero São Paulo,"23°17'14.143""","46°15'54.443""",7.5,m³,-,-,-,,indeterminado,20190013308-H2T,Diretoria de Bacia do Paraíba e Litoral Norte,248,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
25,2019-11-07 18:21:20,1,2019-08-01 00:00:00,51,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0051.pdf,20190801_DDO_8,DDO,RODOLFO BRAGA,326.650.078-43,CAÇAPAVA,173.0,DAEE 5050/19,2019-07-17 00:00:00,urbana,Poço Local 004,Aquífero Guarani/Botucatu Pirambóia,"20º15’56,230”","50º14’07,020”",-,-,235.29,m3,/h,-,-,-,BTG,30,Processado!,1982-08-11 00:00:00,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP,SABESP,DEMAIS,"36.00-6-01 - Captação, tratamento e distribuição de água ",Não informada ,203-8 - Sociedade de Economia Mista,AV DA SAUDADE,655,15.600-001,CENTRO,FERNANDOPOLIS,SP, ,,SP,ATIVA,2005-11-03 00:00:00, ,********,********,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
26,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DDO_9,DDO,AMÉRICO TATSUO MISHIMA,101.644.918-64,SANTA ISABEL,130.0,DAEE 9907524,-,-,Lançamento Superficial,Córrego das Pedrinhas,"23°28'24.749""","46°26'28.141""",34.56,m³,1.44,m³,/h,,indeterminado,20190009818G99,,163,Processado!,2005-12-28 00:00:00,COPAPE PRODUTOS DE PETROLEO LTDA,********,DEMAIS,19.22-5-01 - Formulação de combustíveis ,Não informada ,206-2 - Sociedade Empresária Limitada,R MADRI,350,07.210-090,JARDIM ARAPONGAS,GUARULHOS,SP,COPAPE@HOTMAIL.COM,(11) 3339-2000,*****,ATIVA,2005-12-28 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
27,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_DVI_1,DVI,CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO  SABESP,43.776.517/060247,FERNANDÓPOLIS,470.0,DAEE 9907524,-,-,Lançamento Superficial,Córrego das Pedrinhas,"23°28'5.313""","46°26'20.529""",1.92,m³,0.08,m³,/h,,indeterminado,20190008793-SHK,,163,Processado!,2005-12-28 00:00:00,COPAPE PRODUTOS DE PETROLEO LTDA,********,DEMAIS,19.22-5-01 - Formulação de combustíveis ,Não informada ,206-2 - Sociedade Empresária Limitada,R MADRI,350,07.210-090,JARDIM ARAPONGAS,GUARULHOS,SP,COPAPE@HOTMAIL.COM,(11) 3339-2000,*****,ATIVA,2005-12-28 00:00:00, ,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
28,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_2,IND,PAULO AFONSO RAMOS ,071.314.638-92,CAÇAPAVA,173.0,DAEE 9608055,-,-,Captação Subterrânea,Aquífero Taubaté,"23°8'13.286""","45°38'25.440""",6,m³,-,-,-,,indeterminado,20190010120-YU6,Diretoria de Bacia do Paraíba e Litoral Norte,58,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
29,2019-11-07 18:21:20,1,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Captação Superficial,sem denominação,"23°32'16.551""","45°25'7.801""",2.25,m³,0.25,m³,/h,,indeterminado,20190008859-0J7,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
30,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Captação Superficial,sem denominação,"23°32'16.551""","45°25'7.801""",13,m³,1,m³,/h,,indeterminado,20190008859-FB8,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
31,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Lançamento Superficial,Rio Bonito,"23°32'16.000""","45°25'10.880""",13,m³,1,m³,/h,,indeterminado,20190008963-5YQ,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
32,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Reservatório de Acumulação,,"23°32'16.160""","45°25'9.910""",-,-,-,-,-,,indeterminado,20190008965-OIK,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
33,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Reservatório de Acumulação,sem denominação,"23°32'10.010""","45°21'1.950""",-,-,-,-,-,,indeterminado,20190008966-6BP,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
34,2019-11-07 18:21:20,0,2019-08-01 00:00:00,52,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2019/Agosto/01/exec1/pdf/pg_0052.pdf,20190801_IND_3,IND,THALES GUILHERME CARLINI ,020.069.998-93,NATIVIDADE DA SERRA,250.0,DAEE 9608120,-,-,Reservatório de Acumulação,sem denominação,"23°32'14.430""","45°25'6.850""",-,-,-,-,-,,indeterminado,20190008966TI3,Diretoria de Bacia do Paraíba e Litoral Norte,59,CPF,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,1,,,,,,,,,,,,,,,,,,,,,
